STATLOG_START|1.1|Defficiency|2017.08.13.23.25.07|2017.08.14.21.34.36
MASTERMODE|extended
GAMEMODE|extended
TECH_TOTAL|10
BLOOD_SPILLED|360.787
CRATES_ORDERED|0
ARTIFACTS_DISCOVERED|0
CREWSCORE|18024
ESCAPEES|1
NUKED|0
MOB_DEATH|/mob/living/carbon/human|null|2975.580078125||303|158|4|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2976.239990234375||312|154|4|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2977.56005859375||311|152|4|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2977.56005859375||314|151|4|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2978.219970703125||442|259|2|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2978.8798828125||112|132|2|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2979.2099609375||63|115|2|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2979.5400390625||61|112|2|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2979.8701171875||88|108|2|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2980.199951171875||85|108|2|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2980.860107421875||82|108|2|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2981.18994140625||79|108|2|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2981.85009765625||242|120|3|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2982.510009765625||240|120|3|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2982.840087890625||240|120|3|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2983.169921875||240|120|3|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2985.14990234375||239|128|3|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2986.800048828125||425|380|5|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2987.4599609375||420|380|5|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2987.7900390625||423|382|5|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|2988.1201171875||0|0|0|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|243375.625||107|236|3|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|316275.59375||107|238|3|null|unknown
MOB_DEATH|/mob/living/carbon/human|null|500575.65625|Riddle Riddleson|0|0|0|xenonfort|Riddle Riddleson
MOB_DEATH|/mob/living/carbon/human|null|771895.6875|Juan Antonio|248|192|1|gajehe|Gabriel Hernandez
CULTSTATS|0|0|0|0|0|0|0|0|0
XENOSTATS|0|0|0
BLOBSTATS|0|0|0|0
MALFSTATS|0|0|0
REVSQUADSTATS|0|1
POPCOUNT|2017-08-13 23:30:14|2
POPCOUNT|2017-08-13 23:35:21|2
POPCOUNT|2017-08-13 23:40:28|2
POPCOUNT|2017-08-13 23:45:36|2
POPCOUNT|2017-08-13 23:50:43|2
POPCOUNT|2017-08-13 23:55:50|2
POPCOUNT|2017-08-14 00:00:06|2
POPCOUNT|2017-08-14 00:05:13|2
POPCOUNT|2017-08-14 00:10:20|2
POPCOUNT|2017-08-14 00:15:28|2
POPCOUNT|2017-08-14 00:20:35|2
POPCOUNT|2017-08-14 00:25:42|2
POPCOUNT|2017-08-14 00:30:49|2
POPCOUNT|2017-08-14 00:35:56|2
POPCOUNT|2017-08-14 00:41:04|2
POPCOUNT|2017-08-14 00:46:11|2
POPCOUNT|2017-08-14 00:50:27|2
POPCOUNT|2017-08-14 00:55:34|2
POPCOUNT|2017-08-14 01:00:41|2
POPCOUNT|2017-08-14 01:05:48|2
POPCOUNT|2017-08-14 01:10:56|2
POPCOUNT|2017-08-14 01:16:03|2
POPCOUNT|2017-08-14 01:21:10|2
POPCOUNT|2017-08-14 01:26:17|2
POPCOUNT|2017-08-14 01:31:24|2
POPCOUNT|2017-08-14 01:35:40|2
POPCOUNT|2017-08-14 01:40:48|2
POPCOUNT|2017-08-14 01:45:55|2
POPCOUNT|2017-08-14 01:51:02|2
POPCOUNT|2017-08-14 01:56:09|2
POPCOUNT|2017-08-14 02:01:16|2
POPCOUNT|2017-08-14 02:06:24|2
POPCOUNT|2017-08-14 02:11:31|2
POPCOUNT|2017-08-14 02:16:38|2
POPCOUNT|2017-08-14 02:21:45|2
POPCOUNT|2017-08-14 02:26:01|2
POPCOUNT|2017-08-14 02:31:08|2
POPCOUNT|2017-08-14 02:36:16|2
POPCOUNT|2017-08-14 02:41:23|2
POPCOUNT|2017-08-14 02:46:30|2
POPCOUNT|2017-08-14 02:51:37|2
POPCOUNT|2017-08-14 02:56:44|2
POPCOUNT|2017-08-14 03:01:52|2
POPCOUNT|2017-08-14 03:06:59|3
POPCOUNT|2017-08-14 03:12:06|2
POPCOUNT|2017-08-14 03:17:13|2
POPCOUNT|2017-08-14 03:21:29|2
POPCOUNT|2017-08-14 03:26:36|2
POPCOUNT|2017-08-14 03:31:44|2
POPCOUNT|2017-08-14 03:36:51|2
POPCOUNT|2017-08-14 03:41:58|2
POPCOUNT|2017-08-14 03:47:05|2
POPCOUNT|2017-08-14 03:52:12|2
POPCOUNT|2017-08-14 03:57:20|2
POPCOUNT|2017-08-14 04:02:27|2
POPCOUNT|2017-08-14 04:07:34|2
POPCOUNT|2017-08-14 04:11:50|2
POPCOUNT|2017-08-14 04:16:57|2
